delta
-187.35011696199675
29.661894794278467
262.32501209377136
677.426981122577
647.7931596868472
605.0774346515985
142.38586194656332
-272.7926847373906
-515.6238935230841
-525.5939158917294
-464.03497372021064
-481.71582421498107
